 ( 0.36441526326560580     ,-2.57430038971131098E-019)
 ( 0.46156786049593873     , 4.29536685197588430E-018)
 ( 0.43215280240750897     ,-2.07726436145074462E-018)
 ( 0.63181682918094317     , 5.48215674751438395E-018)
 ( 0.43021278249682127     , 3.56488765104932519E-018)
 ( 0.58026310544375936     , 5.80878764028131534E-018)
 (-9.86850620879650142E-002, 1.16689076393247533E-017)
 ( 0.41822054468865533     , 2.07729167378001387E-018)
 ( 0.75912305057918328     , 3.75079786100391059E-018)
 ( 0.65241723012848829     , 2.35653885167879011E-018)
 ( 0.23416544086196575     , 2.48828125124315772E-018)
 (-7.79123296391838194E-002, 3.01810152773792887E-018)
 (  1.0100240619832630     ,-3.04894518672900498E-018)
 ( 0.22701114537942652     , 7.42297755364932922E-018)
 ( 9.03478546395418691E-002, 4.92805196752296944E-020)
 (-0.11869477816574470     , 1.17470399532641896E-018)
 ( 0.52222984326834310     , 3.10930162552230552E-018)
 ( 0.86086045495908259     , 4.22807320532954891E-018)
 (-0.11266515145401416     , 2.35504111365370592E-017)
 ( 0.25452290213953482     , 4.43818940684304489E-018)
