 (  7.6418606839205427     ,-3.47064418047850384E-017)
 (  4.1502998726177172     , 8.32009328379605407E-017)
 (  9.9026191903845611     , 6.40545895254895281E-017)
 (  5.9629800370574921     , 1.13689225285898620E-016)
 ( -16.969757862166617     , 1.77320515396376248E-016)
 ( -8.5449598933970332     ,-2.32735765800069223E-017)
 ( -11.382770311906022     , 1.75816005036548260E-017)
 (  10.818158673696987     , 1.77562143039963964E-018)
 ( -7.5256902298642832     , 1.62519587663787222E-016)
 (  5.7581253236565297     , 4.47990842020976521E-017)
 (  15.991082800990373     ,-5.29686067283352938E-017)
 ( 0.12368542615677325     ,-4.58994807495518542E-017)
 (  2.9599537366044961     , 4.48097962816550415E-017)
 ( -6.1860606435842698     , 8.18596060862763538E-017)
 (  6.9093231755364348     ,-3.80850084073461667E-018)
 (  14.845631449137294     ,-1.10020197297832142E-017)
 (  7.8324822626785062     , 8.46432205258811362E-017)
 (  2.2109115748193084     , 1.07630685548526435E-017)
 (  2.2336272943130737     , 1.85505068636441408E-016)
 (  7.8042219447389103     , 4.95158967693697875E-017)
