 ( -56.965684593405889     ,  0.0000000000000000     ) (  63.506416131066551     ,  0.0000000000000000     ) ( -14.442947971231890     ,  0.0000000000000000     )
 (  4.9663779598349889     ,  0.0000000000000000     ) (  144.18176733540440     ,  0.0000000000000000     ) (  22.796709430147544     ,  0.0000000000000000     )
 ( -50.328198837523452     ,  0.0000000000000000     ) (  10.718000664226802     ,  0.0000000000000000     ) (  36.785406157419693     ,  0.0000000000000000     )
 ( -44.567151524361861     ,  0.0000000000000000     ) (  6.0932422614107820     ,  0.0000000000000000     ) ( -7.3107115140794585     ,  0.0000000000000000     )
 (  98.279861464535870     ,  0.0000000000000000     ) (  276.31053537922435     ,  0.0000000000000000     ) (  9.0086835240817980     ,  0.0000000000000000     )
 (  1.2130255102962932     ,  0.0000000000000000     ) (  45.957551111653110     ,  0.0000000000000000     ) ( -3.7046393660252894     ,  0.0000000000000000     )
 (  67.014224022953130     ,  0.0000000000000000     ) (  6.3685468526985165     ,  0.0000000000000000     ) (  8.8670753613094426     ,  0.0000000000000000     )
 ( -24.977992824582476     ,  0.0000000000000000     ) (  36.205205973588498     ,  0.0000000000000000     ) ( -11.872527727812184     ,  0.0000000000000000     )
 (  25.030178874820251     ,  0.0000000000000000     ) (  5.2727612199265712     ,  0.0000000000000000     ) ( -21.319668205964131     ,  0.0000000000000000     )
 (  48.497490595274279     ,  0.0000000000000000     ) ( -5.2678155838649108     ,  0.0000000000000000     ) (  25.826789309875934     ,  0.0000000000000000     )
 (  28.392303721823378     ,  0.0000000000000000     ) (  7.4503451607942308     ,  0.0000000000000000     ) ( -46.314959455920494     ,  0.0000000000000000     )
 (  28.075898012863572     ,  0.0000000000000000     ) (  162.32038090159199     ,  0.0000000000000000     ) ( -11.035373538416692     ,  0.0000000000000000     )
 ( -34.064591855220073     ,  0.0000000000000000     ) ( -14.668256283424901     ,  0.0000000000000000     ) (  22.300151803155750     ,  0.0000000000000000     )
 ( -44.072435544399220     ,  0.0000000000000000     ) (  20.266720049851013     ,  0.0000000000000000     ) ( -2.1598338690945953     ,  0.0000000000000000     )
 (  26.342090486038611     ,  0.0000000000000000     ) (  17.635708243516316     ,  0.0000000000000000     ) (  18.309296275270682     ,  0.0000000000000000     )
 (  117.00233270821140     ,  0.0000000000000000     ) ( -9.0809322875896274     ,  0.0000000000000000     ) ( -68.769287354131222     ,  0.0000000000000000     )
 (  79.996560719889999     ,  0.0000000000000000     ) (  344.27889569320240     ,  0.0000000000000000     ) ( -20.502321404620993     ,  0.0000000000000000     )
 ( -61.475715864929690     ,  0.0000000000000000     ) (  28.416536485160407     ,  0.0000000000000000     ) (  18.411081431045492     ,  0.0000000000000000     )
 (  30.152216863459813     ,  0.0000000000000000     ) (  80.973802823307494     ,  0.0000000000000000     ) (  68.047949024052627     ,  0.0000000000000000     )
 (  7.8880862052600973     ,  0.0000000000000000     ) (  22.172669345071991     ,  0.0000000000000000     ) (  2.5524308477459519     ,  0.0000000000000000     )
