 ( -74.449228144223596     ,  0.0000000000000000     ) (  32.008715952839275     ,  0.0000000000000000     ) ( -14.890521055937377     ,  0.0000000000000000     )
 ( -8.5541243050619684     ,  0.0000000000000000     ) (  30.972987212895564     ,  0.0000000000000000     ) ( -27.212102104469643     ,  0.0000000000000000     )
 (  4.3337805444803843     ,  0.0000000000000000     ) ( -8.1288297106229717     ,  0.0000000000000000     ) ( -14.147122676047569     ,  0.0000000000000000     )
 ( -73.867877470334207     ,  0.0000000000000000     ) (  6.9344374287061958     ,  0.0000000000000000     ) (  20.308742966297611     ,  0.0000000000000000     )
 ( -5.8390329739109488     ,  0.0000000000000000     ) (  23.837235137055934     ,  0.0000000000000000     ) (  15.741548166240518     ,  0.0000000000000000     )
 ( -10.847647958808837     ,  0.0000000000000000     ) (  20.975182877059730     ,  0.0000000000000000     ) ( -15.246847914091544     ,  0.0000000000000000     )
 ( -5.3172987402178489     ,  0.0000000000000000     ) ( -3.7455123589179937     ,  0.0000000000000000     ) ( -49.750565771856586     ,  0.0000000000000000     )
 ( -36.677006795885312     ,  0.0000000000000000     ) (  25.271932124644419     ,  0.0000000000000000     ) ( -12.229962571766059     ,  0.0000000000000000     )
 ( -13.462718720155816     ,  0.0000000000000000     ) (  8.8894894305587027     ,  0.0000000000000000     ) (  1.2371202627673823     ,  0.0000000000000000     )
 (  5.9048435047539867     ,  0.0000000000000000     ) (  2.7443021193794213     ,  0.0000000000000000     ) ( -47.853038174681117     ,  0.0000000000000000     )
 (  36.707715217262695     ,  0.0000000000000000     ) ( -28.643937498357623     ,  0.0000000000000000     ) (  11.940032724389265     ,  0.0000000000000000     )
 ( -30.731715274402220     ,  0.0000000000000000     ) ( -25.913499706755957     ,  0.0000000000000000     ) ( -47.913920721110927     ,  0.0000000000000000     )
 (  11.427466454630149     ,  0.0000000000000000     ) ( -9.8312037784212833     ,  0.0000000000000000     ) ( -9.4999539368839763     ,  0.0000000000000000     )
 (  23.068004342303286     ,  0.0000000000000000     ) (  15.942409279001325     ,  0.0000000000000000     ) ( -7.7078528199443372     ,  0.0000000000000000     )
 (  16.026040718603923     ,  0.0000000000000000     ) ( -2.2480784046068987     ,  0.0000000000000000     ) ( -37.534997033113065     ,  0.0000000000000000     )
 (  28.483246395707965     ,  0.0000000000000000     ) ( -16.552145560509313     ,  0.0000000000000000     ) ( -1.2076628186672060     ,  0.0000000000000000     )
 (  21.158886251243139     ,  0.0000000000000000     ) (  104.37817906840594     ,  0.0000000000000000     ) (  26.128867313752078     ,  0.0000000000000000     )
 ( -19.175417292374132     ,  0.0000000000000000     ) (  21.498248593506162     ,  0.0000000000000000     ) ( -17.618825647957394     ,  0.0000000000000000     )
 (  27.312651787347235     ,  0.0000000000000000     ) (  17.335920927958298     ,  0.0000000000000000     ) ( -23.749989267488893     ,  0.0000000000000000     )
 ( -15.607967379651635     ,  0.0000000000000000     ) (  21.024976876485990     ,  0.0000000000000000     ) ( -14.460656395476159     ,  0.0000000000000000     )
