 ( -35.031063559287837     ,  0.0000000000000000     )
 ( -21.217938006069872     ,  0.0000000000000000     )
 ( -33.369056958145499     ,  0.0000000000000000     )
 (  70.017873442821056     ,  0.0000000000000000     )
 ( -75.821845985729851     ,  0.0000000000000000     )
 (  21.174721627541118     ,  0.0000000000000000     )
 (  18.383855323184129     ,  0.0000000000000000     )
 (  1.7138267386593729     ,  0.0000000000000000     )
 ( -18.587691372907230     ,  0.0000000000000000     )
 ( -43.849082208029387     ,  0.0000000000000000     )
 ( -17.879981685807010     ,  0.0000000000000000     )
 ( -59.951102113338635     ,  0.0000000000000000     )
 (  20.604769646655768     ,  0.0000000000000000     )
 ( -25.143867284622395     ,  0.0000000000000000     )
 ( -8.2492753076859504     ,  0.0000000000000000     )
 (  7.0707900579717364     ,  0.0000000000000000     )
 (  9.9159903332520241     ,  0.0000000000000000     )
 ( -31.596257075436426     ,  0.0000000000000000     )
 ( -57.839396611566286     ,  0.0000000000000000     )
 ( -5.0713750963822557     ,  0.0000000000000000     )
