 (  84.989537194792732     ,  0.0000000000000000     )
 (  1.4928167578818909     ,  0.0000000000000000     )
 (  5.1884738233309067     ,  0.0000000000000000     )
 (  34.176100766782994     ,  0.0000000000000000     )
 (  24.041791448849558     ,  0.0000000000000000     )
 (  35.302662645625169     ,  0.0000000000000000     )
 (  28.184456759229494     ,  0.0000000000000000     )
 (  17.706455524882081     ,  0.0000000000000000     )
 (  22.020391187881380     ,  0.0000000000000000     )
 ( -3.2384659727661322     ,  0.0000000000000000     )
 (  81.545480358871458     ,  0.0000000000000000     )
 (  45.769628673560675     ,  0.0000000000000000     )
 (  19.159890343671535     ,  0.0000000000000000     )
 (  22.303467857476434     ,  0.0000000000000000     )
 (  37.694618917600572     ,  0.0000000000000000     )
 (  60.578238502485156     ,  0.0000000000000000     )
 (  82.603192884078538     ,  0.0000000000000000     )
 (  6.6916407386256855     ,  0.0000000000000000     )
 ( -7.1129307346864685     ,  0.0000000000000000     )
 ( -1.1357340745536106     ,  0.0000000000000000     )
