 ( -12.838758609847082     ,-8.93316360345608446E-018)
 ( -20.551044002788590     , 1.86797376427624316E-018)
 ( -15.043019364162211     ,-1.02141683499009059E-021)
 ( -10.555054627423592     ,-1.99469757284514210E-017)
 (-0.85112010297109508     ,-2.06432208328773353E-017)
 ( -8.5415363986737862     , 2.13767495608210885E-020)
 ( -2.8592795913252265     ,-1.29339650757101911E-021)
 ( -7.8364626843813436     , 1.33166240912779301E-019)
 ( -13.855776015238629     , 4.06152989899846317E-021)
 (  5.0363384150791592     ,-7.07527914590386060E-020)
 ( -7.3307963134031855     , 1.81579232950610038E-017)
 ( 0.46547556668006596     , 1.36898410662082493E-017)
 (  1.6280705624963090     ,-6.88804025812892306E-017)
 ( -11.822262784417870     ,-8.09697372985275603E-017)
 (-0.33678560957767756     , 5.04748575595649496E-017)
 ( -10.629956087946763     , 2.49163478324965693E-016)
 ( -3.6635955055750578     ,-1.18974883029445054E-016)
 ( -8.6736680287390975     , 2.04714073755815221E-019)
 ( -18.190937426959529     ,-1.86094463509739477E-018)
 ( -2.0418944580825382     , 5.99509181009178764E-017)
